Suburb,Rooms,Type,Price,Method,Real estate,Distance,Bathroom,Car,Land size,Building area,Year built,Council area,Lattitude,Longtitude,Region name,Property count,Year Sold,Month Sold
Brunswick,3,h,1260000.0,S,Jellis,5.2,2.0,1.0,192.0,120.0,1910.0,Moreland,-37.7743,144.9637,Northern Metropolitan,11918.0,2017,8
Point Cook,4,h,698000.0,S,hockingstuart,14.7,2.0,2.0,448.0,190.0,2012.0,Wyndham,-37.8914,144.72014,Western Metropolitan,15542.0,2017,7
Mitcham,3,t,800000.0,VB,Noel,17.2,2.0,2.0,343.0,130.0,2010.0,Whitehorse,-37.82158,145.21129,Eastern Metropolitan,6871.0,2017,6
Balwyn North,4,h,1250000.0,VB,Marshall,9.2,2.0,2.0,644.0,153.0,1950.0,Boroondara,-37.7997,145.0993,Southern Metropolitan,7809.0,2017,2
Brighton East,5,h,2140000.0,S,Marshall,10.7,2.0,2.0,780.0,206.0,1950.0,Bayside,-37.9173,145.0142,Southern Metropolitan,6938.0,2017,5
Tarneit,3,h,530000.0,S,hockingstuart,18.4,2.0,2.0,400.0,153.0,2009.0,Wyndham,-37.833529999999996,144.67324,Western Metropolitan,10160.0,2017,7
Keysborough,4,h,575000.0,S,hockingstuart,25.2,1.0,2.0,384.0,131.0,1975.0,Greater Dandenong,-37.993179999999995,145.15939,South-Eastern Metropolitan,8459.0,2017,7
Balwyn,4,h,1800000.0,VB,Marshall,9.7,2.0,2.0,715.0,218.0,1985.0,Boroondara,-37.811,145.0958,Southern Metropolitan,5682.0,2016,3
Malvern,2,u,611000.0,SP,Marshall,7.4,1.0,1.0,0.0,68.0,2008.0,Stonnington,-37.8515,145.0372,Southern Metropolitan,4675.0,2016,8
Reservoir,3,h,540000.0,PI,Ray,11.2,2.0,2.0,215.0,146.0,2003.0,Darebin,-37.7257,145.0243,Northern Metropolitan,21650.0,2017,11
Coburg,2,h,953000.0,S,Jellis,7.8,1.0,1.0,170.0,101.0,1890.0,Moreland,-37.7508,144.9608,Northern Metropolitan,11204.0,2016,6
Hawthorn East,4,h,3255000.0,PI,Kay,6.2,3.0,3.0,1116.0,304.0,1984.0,Boroondara,-37.84283,145.05178,Southern Metropolitan,6482.0,2017,6
Craigieburn,2,t,310000.0,PI,Ray,20.6,1.0,1.0,38.0,114.0,2013.0,Hume,-37.57467000000001,144.92229,Northern Metropolitan,15510.0,2017,7
Surrey Hills,3,h,1785000.0,S,Noel,10.2,1.0,1.0,516.0,120.0,1910.0,Boroondara,-37.82372,145.09085,Southern Metropolitan,5457.0,2017,5
South Melbourne,2,u,1050000.0,VB,Marshall,2.1,2.0,2.0,0.0,122.0,2001.0,Port Phillip,-37.8372,144.9672,Southern Metropolitan,5943.0,2016,9
Bulleen,3,h,880000.0,PI,Barry,11.8,2.0,2.0,514.0,190.0,1960.0,Manningham,-37.7683,145.0959,Eastern Metropolitan,4480.0,2016,4
Strathmore,4,h,1610000.0,S,Considine,8.2,3.0,2.0,861.0,274.0,1955.0,Moonee Valley,-37.73154,144.92243,Western Metropolitan,3284.0,2017,12
Caulfield North,3,h,1750000.0,S,Marshall,8.1,2.0,2.0,692.0,313.0,1955.0,Glen Eira,-37.8629,145.019,Southern Metropolitan,6923.0,2016,3
Surrey Hills,3,h,1755000.0,S,Fletchers,11.2,2.0,2.0,808.0,159.0,1970.0,Whitehorse,-37.832,145.11,Southern Metropolitan,5457.0,2016,12
Prahran,1,u,440000.0,SP,Castran,4.6,1.0,1.0,0.0,44.0,2015.0,Stonnington,-37.850120000000004,144.99225,Southern Metropolitan,7717.0,2017,6
Malvern,3,t,1390000.0,PI,Marshall,7.4,2.0,1.0,227.0,181.0,1995.0,Stonnington,-37.8577,145.0406,Southern Metropolitan,4675.0,2016,5
Prahran,1,u,492000.0,S,hockingstuart,4.5,1.0,1.0,1768.0,45.0,1888.0,Stonnington,-37.851,144.988,Southern Metropolitan,7717.0,2017,4
